,Code,Title,Session,Details
163,ECO321H1-F,Canadian Economic History prior to 1850,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 14:00 — 16:00
Friday 13:00 — 14:00
BL 313
BL 313
Hamilton, G.
18 of 68 available Yes: 0 student
Enrolment Controls: Priority (P)"
164,ECO322H1-S,"Canadian Economic History, 1850-1960",LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Thursday 10:00 — 13:00
UC 161
Furlong, K.
0 of 65 available Yes: 12 students
Enrolment Controls: Priority (P)"
165,ECO324H1-F,Economic Development,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 14:00 — 16:00
Friday 10:00 — 12:00
MP 137
ES B149
Blouin, A.
11 of 81 available Yes: 0 student
Enrolment Controls: Priority (P)"
166,ECO325H1-F,Advanced Economic Theory - Macro,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 11:00 — 14:00
RW 140
Kuruscu, B.
9 of 80 available Yes: 0 student
Enrolment Controls: Priority (P)"
167,ECO325H1-S,Advanced Economic Theory - Macro,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Thursday 18:00 — 21:00
RW 140
Kuruscu, B.
33 of 80 available Yes: 0 student
Enrolment Controls: Priority (P)"
168,ECO326H1-F,Advanced Microeconomics - Game Theory,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Monday 18:00 — 21:00
SS 1085
Peski, M.
20 of 86 available Yes: 0 student
Enrolment Controls: Priority (P)"
169,ECO326H1-S,Advanced Microeconomics - Game Theory,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 10:00 — 13:00
SS 1085
Peski, M.
0 of 80 available Yes: 11 students
Enrolment Controls: Priority (P)"
170,ECO331H1-F,Behavioural and Experimental Economics,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Tuesday 10:00 — 13:00
SS 1085
McNeill, J.
15 of 96 available Yes: 0 student
Enrolment Controls: Priority (P)"
171,ECO331H1-F,Behavioural and Experimental Economics,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Tuesday 14:00 — 17:00
SS 1085
McNeill, J.
21 of 96 available Yes: 0 student
Enrolment Controls: Priority (P)"
172,ECO333H1-F,Urban Economics,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Thursday 13:00 — 15:00
Friday 12:00 — 13:00
MP 134
MP 134
Hall, J.
8 of 80 available Yes: 0 student
Enrolment Controls: Priority (P)"
