,Code,Title,Session,Details
128,CSC311H1-F,Introduction to Machine Learning,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 11:00 — 13:00
Monday 15:00 — 16:00
RW 117
RW 117
Erdogdu, M.
40 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
129,CSC311H1-F,Introduction to Machine Learning,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Wednesday 11:00 — 13:00
Wednesday 15:00 — 16:00
BA 1170
BA 1170
Zemel, R.
30 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
130,CSC311H1-F,Introduction to Machine Learning,LEC0301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0301
Thursday 16:00 — 18:00
Thursday 18:00 — 19:00
MB 128
MB 128
Erdogdu, M.
27 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
131,CSC311H1-S,Introduction to Machine Learning,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Tuesday 13:00 — 15:00
Thursday 14:00 — 15:00
MS 2172
MS 2172
Farahmand, A.
0 of 125 available Yes: 54 students
Enrolment Controls: Priority (P)"
132,CSC311H1-S,Introduction to Machine Learning,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Thursday 18:00 — 20:00
Thursday 20:00 — 21:00
BA 1130
BA 1130
—
0 of 125 available Yes: 62 students
Enrolment Controls: Priority (P)"
133,CSC318H1-F,The Design of Interactive Computational Media,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 15:00 — 17:00
Wednesday 17:00 — 18:00
SS 2102
SS 2102
Posner, I.
27 of 95 available Yes: 0 student Room Added: July 30, 2019
Enrolment Controls: Priority (P)"
134,CSC318H1-F,The Design of Interactive Computational Media,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Wednesday 18:00 — 20:00
Wednesday 20:00 — 21:00
SS 2135
SS 2135
Posner, I.
45 of 100 available Yes: 0 student Room Added: July 30, 2019
Enrolment Controls: Priority (P)"
135,CSC318H1-F,The Design of Interactive Computational Media,LEC2001,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2001
Wednesday 15:00 — 17:00
Wednesday 17:00 — 18:00
SS 2102
SS 2102
Posner, I.
3 of 5 available Yes: 0 student Room Added: July 30, 2019
Enrolment Controls: Restricted (R1)"
136,CSC318H1-S,The Design of Interactive Computational Media,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 18:00 — 20:00
Wednesday 18:00 — 20:00
Friday 18:00 — 20:00
MC 102
PB B250
MC 102
Chevalier, F.
Truong, K.
1 of 90 available Yes: 0 student Time Change: September 17, 2019
Enrolment Controls: Priority (P)"
137,CSC318H1-S,The Design of Interactive Computational Media,LEC2001,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2001
Monday 18:00 — 20:00
Wednesday 18:00 — 20:00
Friday 18:00 — 20:00
MC 102
PB B250
MC 102
Chevalier, F.
Truong, K.
6 of 10 available Yes: 0 student Time Change: September 17, 2019
Enrolment Controls: Restricted (R1)"
